,Kasturi Foundry Pvt. Ltd.(UNIT 1),,
,,,
,"T-6 Kagal-Hatkanangale Five Star MIDC , Kagal 416236.",,
,Tool Cost Report From :- 01/01/2024 To :-27/01/2024,,
,,,
,,,
,Component Name,Operation Name,Tool Discription
KFPLU1|PM|HMC|70,HOUSING FRONT 4656.401.158,1st OPERATION,
,,,PS SC HOLEMILL DIA 12.05 X FL120 X OAL160 X SH DIA 12 T.C (+-0.010)
,,,PS SC HOLEMILL DIA 14.5X40X120
,,,PS SC HOLEMILL DIA 6.35±0.25 X FL 150 X OAL 200 
,,,PS SC REAMER DIA 12.07 D9 X FL70 X OAL120 X SH DIA 12 T .C
,,,PS SC REAMER DIA 19.995 K7 X 10 X 65 X 120 X 20h6 SCZF (REMTACH)
,,,PULL STUD BT 50 SPECIAL
,,,R - 2NU CCGW 060204 BN500
,,,R - 2NU CCGW 09T304 BN 500
,,,R - 3NU TCGW 110304 BN7000
,,,R - 3NU TCMW 110204SB(1816)BN 700
,,,R - 3QP-TPGW 110308 BX480
,,,R - 3QP-TPMW110204 BX930
,,,R - ADAPTOR BT 50 ER 16200
,,,R - ADAPTOR BT 50 ER 32100 
,,,R - ADAPTOR BT 50 ERM 25200
,,,R - ADAPTOR BT 50 FMH 22100
,,,R - ADAPTOR BT 50 FMH 32100
,,,R - ADAPTOR BT 50 FMH 40060 WITH PCD HOLE
,,,R - ADAPTOR BT 50 SLA 25105
,,,R - ADAPTOR BT 50 SLA 32105
,,,R - ADAPTOR BT 50 SLA 32160
,,,R - ADAPTOR BT50 ERM 16160
,,,R - ADAPTOR BT50 ERM 25160 
,,,R - ADAPTOR BT50 ERM25120
,,,R - ADJUSTABLE REAMER DIA 10-H8-ZFWG
,,,R - ADJUSTABLE REAMER DIA 12-D9-ZFWG
,,,R - BACK ROUGH BORING BAR OF DIA 98.0 WITH BT-50 GPL 280 WG HSG
,,,R - BACK SEMI FINISH BORING BAR OF DIA 99.50 WITH BT-50 GPL 280 WG HSG
,,,R - BORING BAR DIA 64 (ENDMILL CUTTER DIA 32) ZF WG HSG
,,,R - BORING BAR DIA 84 (ENDMILL CUTTER DIA 32) X 205 GPL ZF WG HSG
,,,R - BRAZED CARBIDE CUTTER DIA 17 X 17.5 X 19.1 X 23.3 X 23.8 X 38.2 X SH25 X FL-90 X 140
,,,R - BRAZED CARBIDE CUTTER DIA 20.5 X 23.95 X 33 X SH25 X 100
,,,R - BRAZED CARBIDE CUTTER DIA 36.5 X 40.55 X 58 X 105
,,,R - BRAZED CARBIDE CUTTER DIA16.4 X 17 X 18.6 X 22.5 X 23.3 X 37.7 X 150
,,,R - BT50 FMH22200
,,,R - CCGT 060204 FL  K10
,,,R - CCGW 060204-F BKU203 CBN
,,,R - CCMT 120408 MT TT7310
,,,R - CNGN 120412 BKU 203
,,,R - COMBI BORING BAR DIA 23.3/38.2 WITH 20°CHF X 155 GPL ZF WG HSG
,,,R - DCMT 11T308 UC 5115
,,,R - DFPR 060304 PKO
,,,R - DFPR 070305 PKO
,,,R - DFPR 080304 PKI
,,,R - DFPR 110406 PKO
,,,R - DFPR 140406 PKI
,,,R - DFPR 140408 PKO
,,,R - FINISH BORING BAR DIA 127.0 X 120 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 190J7 WTIUH SPL MBU X 160 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 30.0 X 150 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 35D9 X 120 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 40.0 X 150 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 76.22 WITH SPL MBU X 120 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 85.0/60.0 WITH SPL MBU X 200 GPL ZF WG HSG
,,,R - FINISH BORING BAR DIA 95.0 WITH SPL MBU X 120 GPL ZF WG HSG
,,,R - FINISH COMB BORING BAR DIA 40/76.22 WITH SPL MBU X 270 GPL ZF WG HSG
,,,R - FINISH COMB BORING BAR DIA 60/95 WITH SPL MBU X 255 GPL ZF WG HSG
,,,R - FRONT. & BACK FINISH BORING BAR DIA 95/100 WITH SPL MBU X 280 GPL ZF WG HSG
